# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Sep 18 14:47:08 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i> + 2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Jmag    Hmag    Ksmag
0.0019443 -0.90000 10.00000 0.0900000036 1.0816895926    0.090 -3.254  3.4369  5.346    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-17      0.00 7.444e-01 2.537e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.905 22.469 17.845 15.836 13.597 12.460 10.749 10.385 10.229
0.0019443 -0.90000 10.00000 0.0973789096 1.1488308757    0.097 -3.082  3.4610  5.304    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.44e-17      0.00 7.437e-01 2.544e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.474 20.884 16.708 14.781 12.950 11.998 10.395 9.963 9.793
0.0019443 -0.90000 10.00000 0.1000000015 1.1711064122    0.100 -3.024  3.4692  5.290    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.53e-17      0.00 7.434e-01 2.546e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.329 20.370 16.338 14.438 12.740 11.846 10.276 9.825 9.650
0.0019443 -0.90000 10.00000 0.1043815613 1.2066984397    0.104 -2.958  3.4771  5.275    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.89e-17      0.00 7.431e-01 2.550e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.165 19.858 15.963 14.088 12.516 11.677 10.136 9.669 9.489
0.0019443 -0.90000 10.00000 0.1199999973 1.3193154249    0.120 -2.744  3.5028  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-16      0.00 7.419e-01 2.562e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 11.629 18.270 14.804 13.017 11.813 11.136 9.684 9.174 8.981
0.0019443 -0.90000 10.00000 0.1400000006 1.4384526719    0.140 -2.558  3.5213  5.179    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-16      0.00 7.406e-01 2.575e-01 3.523e-04 9.504e-05 8.621e-04 -1.000 1.959e-03 11.164 17.140 13.949 12.241 11.249 10.675 9.278 8.747 8.549
0.0019443 -0.90000 10.00000 0.1599999964 1.5372931554    0.160 -2.417  3.5331  5.143    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-16      0.00 7.395e-01 2.586e-01 3.523e-04 9.504e-05 8.621e-04 -1.000 1.959e-03 10.811 16.423 13.382 11.734 10.846 10.326 8.960 8.420 8.220
0.0019443 -0.90000 10.00000 0.2000000179 1.6938791367    0.200 -2.198  3.5481  5.081    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.13e-16      0.00 7.381e-01 2.600e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 10.265 15.456 12.587 11.018 10.244 9.786 8.459 7.909 7.707
0.0019443 -0.90000 10.00000 0.2500000000 1.8403257998    0.250 -1.993  3.5598  5.020    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-16      0.00 7.376e-01 2.604e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 9.752 14.644 11.895 10.389 9.693 9.280 7.982 7.424 7.221
0.0019443 -0.90000 10.00000 0.3000000417 1.9529140366    0.300 -1.832  3.5687  4.974    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-16      0.00 7.376e-01 2.604e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 9.350 14.040 11.370 9.911 9.266 8.886 7.608 7.045 6.840
0.0019443 -0.90000 10.00000 0.3500000238 2.0434175133    0.350 -1.698  3.5761  4.936    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-15      0.00 7.457e-01 2.523e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 9.015 13.551 10.941 9.522 8.913 8.555 7.294 6.726 6.522
0.0019443 -0.90000 10.00000 0.4000000060 2.1185024399    0.400 -1.545  3.5873  4.886    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 8.631 12.941 10.421 9.065 8.506 8.181 6.943 6.368 6.169
0.0019443 -0.90000 10.00000 0.4499999881 2.1822809009    0.450 -1.369  3.6035  4.826    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.09e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 8.193 12.200 9.800 8.538 8.040 7.754 6.548 5.962 5.778
0.0019443 -0.90000 10.00000 0.5000000000 2.2374541529    0.500 -1.173  3.6284  4.775    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.89e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 7.702 11.273 9.042 7.935 7.521 7.286 6.120 5.517 5.370
0.0019443 -0.90000 10.00000 0.5500000715 2.2836583126    0.550 -0.954  3.6617  4.731    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.11e-15      0.00 7.747e-01 2.235e-01 3.154e-04 8.514e-05 7.725e-04 -1.000 1.763e-03 7.156 10.081 8.139 7.253 6.944 6.776 5.666 5.097 4.990
0.0019443 -0.90000 10.00000 0.6000000238 2.3211213258    0.600 -0.755  3.6918  4.690    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-14      0.00 7.805e-01 2.177e-01 3.083e-04 8.325e-05 7.556e-04 -1.000 1.724e-03 6.658 8.979 7.374 6.668 6.428 6.309 5.270 4.781 4.693
0.0019443 -0.90000 10.00000 0.6171257496 2.3323592193    0.617 -0.686  3.7028  4.678    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-14      0.00 7.828e-01 2.155e-01 3.056e-04 8.253e-05 7.491e-04 -1.000 1.666e-03 6.486 8.615 7.127 6.474 6.254 6.150 5.138 4.680 4.597
0.0019443 -0.90000 10.00000 0.6409509778 2.3468504893    0.641 -0.591  3.7179  4.660    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-14      0.00 7.860e-01 2.123e-01 3.016e-04 8.149e-05 7.398e-04 -1.000 1.667e-03 6.248 8.136 6.800 6.214 6.020 5.936 4.959 4.541 4.466
0.0019443 -0.90000 10.00000 0.6499999762 2.3520353107    0.650 -0.555  3.7235  4.652    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-14      0.00 7.873e-01 2.111e-01 3.002e-04 8.109e-05 7.362e-04 -1.000 1.667e-03 6.158 7.966 6.681 6.118 5.933 5.856 4.892 4.488 4.415
0.0019443 -0.90000 10.00000 0.6659659743 2.3607894400    0.666 -0.492  3.7326  4.636    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.900e-01 2.084e-01 2.969e-04 8.022e-05 7.285e-04 -1.000 1.667e-03 6.001 7.687 6.480 5.952 5.782 5.716 4.771 4.389 4.320
0.0019443 -0.90000 10.00000 0.6826399565 2.3694308852    0.682 -0.426  3.7417  4.617    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-14      0.00 7.929e-01 2.054e-01 2.933e-04 7.928e-05 7.200e-04 -1.000 1.660e-03 5.835 7.411 6.276 5.782 5.625 5.570 4.644 4.283 4.218
0.0019443 -0.90000 10.00000 0.6981372833 2.3770383576    0.698 -0.364  3.7499  4.598    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-14      0.00 7.958e-01 2.026e-01 2.899e-04 7.836e-05 7.119e-04 -1.000 1.660e-03 5.681 7.165 6.089 5.625 5.482 5.437 4.526 4.181 4.121
